,name,state,year,count,committee,full_name,unique_committees_count
74,barr,Kentucky,2021,158,"['Committee On Financial Services', 'Committee On Foreign Affairs']",Andy Barr,2
75,barragan,California,2017,101,"['Committee On Border And Maritime Security', 'Committee On Homeland Security', 'Committee On Oversight And Management Efficiency']",Nanette Diaz Barragan,3
76,barragan,California,2019,196,"['Committee On Energy And Commerce', 'Committee On Homeland Security', 'Committee On Oversight, Management, And Accountability', 'Committee On Transportation And Maritime Security']",Nanette Diaz Barragan,4
77,barragan,California,2021,112,"['Committee On Border Security, Facilitation, And Operations', 'Committee On Energy And Commerce', 'Committee On Homeland Security']",Nanette Diaz Barragan,3
78,barragar,California,2019,1,['Committee On Homeland Security'],Nanette Barragar,1
79,barrow,Georgia,2013,186,['Committee On Energy And Commerce'],John Barrow,1
80,barton,Texas,2013,186,['Committee On Energy And Commerce'],Joe Barton,1
81,barton,Texas,2015,177,['Committee On Energy And Commerce'],Joe Barton,1
82,barton,Texas,2017,175,['Committee On Energy And Commerce'],Joe Barton,1
83,bass,California,2013,374,"['Committee On Foreign Affairs', 'Committee On The Judiciary']",Karen Bass,2
84,bass,California,2015,332,"['Committee On Foreign Affairs', 'Committee On The Judiciary']",Karen Bass,2
85,bass,California,2017,243,"['Committee On Courts, Intellectual Property, And The Internet', 'Committee On Foreign Affairs', 'Committee On The Judiciary']",Karen Bass,3
86,bass,California,2019,240,"['Committee On Courts, Intellectual Property,', 'Committee On Courts, Intellectual Property,', 'Committee On Courts, Intellectual Property, And', 'Committee On Courts, Intellectual Property, And The Internet', 'Committee On Crime, Terrorism, And Homeland Security', 'Committee On Foreign Affairs', 'Committee On Judiciary', 'Committee On The Judiciary', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs', 'Committee On The Judiciary', 'Committee On The Judiciary', 'Committee On Foreign Affairs']",Karen Bass,13
87,bass,California,2021,157,"['Committee On Courts, Intellectual Property, And', 'Committee On Crime, Terrorism, And Homeland Security', 'Committee On Foreign Affairs', 'Committee On The Judiciary', 'Committee On Foreign Affairs']",Karen Bass,5
88,bath,Georgia,2021,20,"['Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions']",Lucy Mc Bath,3
89,beatty,Ohio,2013,100,['Committee On Financial Services'],Joyce Beatty,1
90,beatty,Ohio,2015,112,['Committee On Financial Services'],Joyce Beatty,1
91,beatty,Ohio,2017,120,"['Committee On Financial Services', 'Committee On Financial Services']",Joyce Beatty,2
92,beatty,Ohio,2019,105,['Committee On Financial Services'],Joyce Beatty,1
93,beatty,Ohio,2021,104,['Committee On Financial Services'],Joyce Beatty,1
94,becerra,California,2013,79,"['Committee On Human Resources', 'Committee On Social Security', 'Committee On Ways And Means']",Xavier Becerra,3
95,becerra,California,2015,73,"['Committee On Social Security', 'Committee On Ways And Means']",Xavier Becerra,2
96,begich,Alaska,2013,1,['Committee On Economic Opportunity (Eo)'],Mark Begich,1
97,bemidji,Minnesota,2019,1,['Committee On Oversight And Reform'],From Bemidji,1
98,benishek,Michigan,2013,140,"['Committee On Agriculture', 'Committee On Health', 'Committee On Oversight And Investigation', 'Committee On Oversight And Investigations', ""Committee On Veterans' Affairs""]",Dan Benishek,5
99,benishek,Michigan,2015,183,"['Committee On Agriculture', 'Committee On Health', 'Committee On Oversight And Investigation', 'Committee On Oversight And Investigations', ""Committee On Veterans' Affairs""]",Dan Benishek,5
100,benishek,Michigan,2017,2,"['Committee On Oversight And Investigation', ""Committee On Veterans' Affairs""]",Dan Benishek,2
101,bentivolio,Michigan,2013,243,"['Committee On Oversight And Government Reform', 'Committee On Small Business']",Kerry L. Bentivolio,2
102,bentz,Oregon,2021,96,"['Committee On Antitrust, Commercial,', 'Committee On Courts, Intellectual Property, And', 'Committee On The Judiciary']",Cliff Bentz,3
103,bera,California,2013,337,"['Committee On Foreign Affairs', 'Committee On Research And Technology', 'Committee On Science, Space, And Technology']",Ami Bera,3
104,bera,California,2015,332,"['Committee On Foreign Affairs', 'Committee On Science, Space, And Technology']",Ami Bera,2
105,bera,California,2017,254,"['Committee On Foreign Affairs', 'Committee On Research And Technology', 'Committee On Science, Space, And Technology']",Ami Bera,3
106,bera,California,2019,201,"['Committee On Foreign Affairs', 'Committee On Oversight And Investigations', 'Committee On Science, Space, And Technology', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs']",Ami Bera,6
107,bera,California,2021,110,"['Committee On Foreign Affairs', 'Committee On Science, Space, And Technology', 'Committee On Foreign Affairs']",Ami Bera,3
108,bergman,Michigan,2017,123,"['Committee On Disability Assistance And Memorial Affairs', 'Committee On Oversight And Investigations', 'Committee On Technology Modernization', 'Committee On The Budget', ""Committee On Veterans' Affairs""]",Jack Bergman,5
109,bergman,Michigan,2019,141,"['Committee On Armed Services', 'Committee On Economic Opportunity', 'Committee On Military Personnel', 'Committee On Oversight And Investigations', 'Committee On Readiness', 'Committee On Seapower And Projection Forces', ""Committee On Veterans' Affairs""]",Jack Bergman,7
110,bergman,Michigan,2021,32,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Seapower And Projection Forces']",Jack Bergman,3
111,bethesda,Maryland,2019,1,['Committee On Oversight And Reform'],You'Re My Constituent In Bethesda,1
112,beutler,Washington,2013,82,['Committee On Small Business'],Jaime Herrera Beutler,1
113,beutler,Washington,2019,53,"['Committee On Science, Space, And Technology']",Jaime Herrera Beutler,1
114,beyer,Virginia,2017,4,"['Committee On Research And Technology', 'Committee On Science, Space, And Technology']",Donald S. Beyer,2
115,beyer,Virginia,2019,92,"['Committee On Science, Space, And Technology', 'Committee On Select Revenue Measures', 'Committee On Ways And Means']",Don Beyer,3
116,beyer,Virginia,2021,56,"['Committee On Science, Space, And Technology']",Don Beyer,1
117,bice,Oklahoma,2021,83,"['Committee On Armed Services', 'Committee On Cyber, Innovative Technologies, And Information Systems', 'Committee On Military Personnel', 'Committee On Science, Space, And Technology']",Stephanie I. Bice,4
118,biggs,Arizona,2017,143,"['Committee On Courts, Intellectual Property, And The Internet', 'Committee On Science, Space, And Technology', 'Committee On The Judiciary']",Andy Biggs,3
119,biggs,Arizona,2019,205,"['Committee On Courts, Intellectual Property,', 'Committee On Courts, Intellectual Property,', 'Committee On Courts, Intellectual Property, And', 'Committee On Courts, Intellectual Property, And The Internet', 'Committee On Immigration And Citizenship', 'Committee On Judiciary', 'Committee On Science, Space, And Technology', 'Committee On The Judiciary']",Andy Biggs,8
120,biggs,Arizona,2021,198,"['Committee On Crime, Terrorism, And Homeland Security', 'Committee On Immigration And Citizenship', 'Committee On Oversight And Reform', 'Committee On The Judiciary']",Andy Biggs,4
121,bilirakis,Florida,2013,292,"['Committee On Disability Assistance And Memorial Affairs', 'Committee On Energy And Commerce', ""Committee On Veterans' Affairs"", ""Committee On Veterans' Affairs""]",Gus M. Bilirakis,4
122,bilirakis,Florida,2015,279,"['Committee On Energy And Commerce', 'Committee On Health', ""Committee On Veterans' Affairs"", 'Committee On Energy And Commerce']",Gus M. Bilirakis,4
123,bilirakis,Florida,2017,294,"['Committee On Economic Opportunity', 'Committee On Energy And Commerce', 'Committee On Health', ""Committee On Veterans' Affairs""]",Gus M. Bilirakis,4
124,bilirakis,Florida,2019,166,"['Committee On Disability Assistance And Memorial Affairs', 'Committee On Economic Opportunity', 'Committee On Energy And Commerce', ""Committee On Veterans' Affairs"", 'Committee On Economic Opportunity']",Gus M. Bilirakis,5
125,bilirakis,Florida,2021,31,['Committee On Energy And Commerce'],Gus M. Bilirakis,1
126,birmingham,Alabama,2019,2,['Committee On Oversight'],['A Man Born In Birmingham' 'As The Daughter Of A Man Born In Birmingham'],1
127,bishop,Michigan,2015,168,"['Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And The Workforce', 'Committee On The Judiciary', 'Committee On Workforce Protections']",Michael D. Bishop,4
128,bishop,Michigan,2017,54,"['Committee On Human Resources', 'Committee On Oversight', 'Committee On Social Security', 'Committee On The Judiciary', 'Committee On Ways And Means', 'Committee On Ways And Means']",Mike Bishop,6
129,bishop,New York,2013,177,"['Committee On Education And The Workforce', 'Committee On Higher Education And Workforce Training', 'Committee On Transportation And Infrastructure', 'Committee On Workforce Protections']",Timothy H. Bishop,4
130,bishop,North Carolina,2019,109,"['Committee On Emergency Preparedness, Response, And Recovery', 'Committee On Homeland Security', 'Committee On Small Business', 'Committee On Transportation And Maritime Security']",Dan Bishop,4
131,bishop,North Carolina,2021,179,"['Committee On Border Security, Facilitation, And Operations', 'Committee On Courts, Intellectual Property, And', 'Committee On Homeland Security', 'Committee On Oversight, Management, And Accountability', 'Committee On The Judiciary']",Dan Bishop,5
132,bishop,Utah,2013,64,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Tactical Air And Land Forces']",Rob Bishop,3
133,bishop,Utah,2015,71,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Strategic Forces']",Rob Bishop,3
134,bishop,Utah,2017,67,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Readiness', 'Committee On Tactical Air And Land Forces']",Rob Bishop,4
135,bishop,Utah,2019,51,"['Committee On Armed Services', 'Committee On Natural Resources', 'Committee On Readiness', 'Committee On Strategic Forces']",Rob Bishop,4
136,black,Tennessee,2013,83,"['Committee On Human Resources', 'Committee On Oversight', 'Committee On The Budget', 'Committee On Ways And Means']",Diane Black,4
137,black,Tennessee,2015,79,"['Committee On Health', 'Committee On The Budget', 'Committee On Ways And Means']",Diane Black,3
138,black,Tennessee,2017,54,"['Committee On Health', 'Committee On The Budget', 'Committee On Ways And Means', 'Committee On Ways And Means']",Diane Black,4
139,blackburn,Tennessee,2013,195,"['Committee On Energy And Commerce', 'Committee On The Budget']",Marsha Blackburn,2
140,blackburn,Tennessee,2015,178,"['Committee On Energy And Commerce', 'Committee On Energy And Commerce']",Marsha Blackburn,2
141,blackburn,Tennessee,2017,176,"['Committee On Energy And Commerce', ""Committee On Veterans' Affairs""]",Marsha Blackburn,2
142,blum,Iowa,2015,167,"['Committee On Information Technology', 'Committee On Oversight And Government Reform', 'Committee On The Budget']",Rod Blum,3
143,blum,Iowa,2017,94,"['Committee On Oversight & Government Reform', 'Committee On Oversight And Government Reform', 'Committee On Small Business']",Rod Blum,3
144,blum,Massachusetts,2015,16,['Committee On Oversight And Government Reform'],Rod Blum,1
145,blumenauer,Oregon,2013,100,"['Committee On Health', 'Committee On The Budget', 'Committee On Trade', 'Committee On Ways And Means']",Earl Blumenauer,4
146,blumenauer,Oregon,2015,88,"['Committee On Health', 'Committee On Social Security', 'Committee On Trade', 'Committee On Ways And Means']",Earl Blumenauer,4
147,blumenauer,Oregon,2017,51,"['Committee On Health', 'Committee On Oversight', 'Committee On Tax Policy', 'Committee On Ways And Means', 'Committee On Ways And Means']",Earl Blumenauer,5
148,blumenauer,Oregon,2019,9,['Committee On Ways And Means'],Earl Blumenauer,1
149,blumenthal,Connecticut,2013,1,['Committee On Economic Opportunity (Eo)'],Richard Blumenthal,1
150,blumenthal,Connecticut,2017,1,"[""Committee On Veterans' Affairs""]",Richard Blumenthal,1
151,boebert,Colorado,2021,14,['Committee On The Budget'],Lauren Boebert,1
152,boise,Idaho,2021,1,"['Committee On Science, Space, And Technology']",Headquartered In Boise,1
153,bonamici,Oregon,2013,182,"['Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Training', 'Committee On Science, Space, And Technology', 'Committee On Workforce Protections']",Suzanne Bonamici,5
154,bonamici,Oregon,2015,162,"['Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Science, Space, And Technology']",Suzanne Bonamici,4
155,bonamici,Oregon,2017,130,"['Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Research And Technology', 'Committee On Science, Space, And Technology', 'Committee On Health, Employment, Labor, And Pensions']",Suzanne Bonamici,6
156,bonamici,Oregon,2019,173,"['Committee On Education And Labor', 'Committee On Higher Education And Workforce Investment', 'Committee On Science, Space, And Technology', 'Committee On The Climate Crisis']",Suzanne Bonamici,4
157,bonamici,Oregon,2021,116,"['Committee On Civil Rights And Human Services', 'Committee On Education And Labor', 'Committee On Higher Education And Workforce Investment', 'Committee On Science, Space, And Technology', 'Committee On The Climate Crisis', 'Committee On The Climate Crisis']",Suzanne Bonamici,6
158,boozman,Arkansas,2013,1,['Committee On Economic Opportunity (Eo)'],John Boozman,1
159,boozman,Arkansas,2017,1,"[""Committee On Veterans' Affairs""]",John Boozman,1
160,bordallo,Guam,2013,69,"['Committee On Armed Services', 'Committee On Military Personnel', 'Committee On Readiness']",Madeleine Z. Bordallo,3
161,bordallo,Guam,2015,72,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Seapower And Projection Forces']",Madeleine Z. Bordallo,3
162,bordallo,Guam,2017,63,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Readiness', 'Committee On Seapower And Projection Forces']",Madeleine Z. Bordallo,4
163,bost,Illinois,2015,244,"['Committee On Agriculture', 'Committee On Disability Assistance And Memorial Affairs', 'Committee On Economic Opportunity', 'Committee On Small Business', 'Committee On Transportation And Infrastructure', ""Committee On Veterans' Affairs""]",Mike Bost,6
164,bost,Illinois,2017,178,"['Committee On Agriculture', 'Committee On Disability Assistance And Memorial Affairs', 'Committee On Oversight And Investigations', 'Committee On Transportation And Infrastructure', ""Committee On Veterans' Affairs""]",Mike Bost,5
165,bost,Illinois,2019,172,"['Committee On Agriculture', 'Committee On Disability Assistance And Memorial Affairs', 'Committee On Oversight And Investigations', 'Committee On Transportation And Infrastructure', ""Committee On Veterans' Affairs"", 'Committee On Disability Assistance And Memorial Affairs']",Mike Bost,6
166,bost,Illinois,2021,54,['Committee On Transportation And Infrastructure'],Mike Bost,1
167,bourdeaux,Georgia,2021,123,"['Committee On Small Business', 'Committee On Small Business', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure']",Carolyn Bourdeaux,6
168,bowman,New York,2021,105,"['Committee On Civil Rights And Human Services', 'Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And Labor', 'Committee On Higher Education And Workforce Investment', 'Committee On Science, Space, And Technology']",Jamaal Bowman,5
169,boyle,Pennsylvania,2015,416,"['Committee On Foreign Affairs', 'Committee On Oversight And Government Reform']",Brendan F. Boyle,2
170,boyle,Pennsylvania,2017,190,"['Committee On Foreign Affairs', 'Committee On The Budget']",Brendan F. Boyle,2
171,boyle,Pennsylvania,2019,43,"['Committee On Oversight', 'Committee On Select Revenue Measures', 'Committee On Social Security', 'Committee On The Budget', 'Committee On Ways And Means']",Brendan Boyle,5
172,boyle,Pennsylvania,2021,14,['Committee On The Budget'],Brendan F. Boyle,1
173,brady,Pennsylvania,2013,73,"['Committee On Armed Services', 'Committee On House Administration', 'Committee On Military Personnel']",Robert A. Brady,3
174,brady,Pennsylvania,2015,66,"['Committee On Armed Services', 'Committee On House Administration', 'Committee On Military Personnel']",Robert A. Brady,3
175,brady,Pennsylvania,2017,46,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Military Personnel']",Robert A. Brady,3
176,brady,Texas,2013,101,"['Committee On Health', 'Committee On Human Resources', 'Committee On Social Security', 'Committee On Trade', 'Committee On Ways And Means']",Kevin Brady,5
177,brady,Texas,2015,73,"['Committee On Health', 'Committee On Social Security', 'Committee On Ways And Means']",Kevin Brady,3
178,brady,Texas,2017,37,"['Committee On Ways And Means', 'Committee On Ways And Means']",Kevin Brady,2
